cam_token,ann_token,bounding_box,future_bounding_box,K,attribute,label,future_label
"[""b83d7f2779895563b5e75b396343502a"", ""877504c4cabc539b87ac7c6f73ca5492"", ""4644dfe549205f8882c39a0084305170"", ""05a33e531455505e8d26bfe07081def2"", ""30bbc12c3cb35928ae31fb3a5d916925"", ""c793d145eb8a58dbbc4bcb2d4f03573c"", ""caead3ec31e255728de01ff66374bacb"", ""649392cd905d5d128d92eda94d973fa6""]","[""3492a0d0f9a653378ee53fad82e93eb0"", ""1db5ff0ff28357608534022b449eeff4"", ""4a32b0f7722f53ba966f1ddddaaf8f9e"", ""8e0ad4a439d3506995a9b0db2bfe08fa"", ""35b913c5a71d5665934475023d2fdd97"", ""71e5b5186f3053c995a46e54d009d3aa"", ""76fb989ab74855c2bd77cd89e0901336"", ""59707cf48d2752c994e7d4bc86bbfec4""]","[[2.535022258758545, 5.11688756942749, -0.34709614515304565, 0.7357121706008911, 0.6925692558288574, 1.6931965351104736], [2.5591816902160645, 5.172679424285889, -0.30396631360054016, 0.7220348119735718, 0.7958616614341736, 1.6210533380508423], [2.6421589851379395, 5.1383514404296875, -0.3151113986968994, 0.7089553475379944, 0.7923415899276733, 1.6043531894683838], [2.6150832176208496, 5.181943893432617, -0.34847867488861084, 0.7411373257637024, 0.6461775898933411, 1.5532644987106323]]","[[2.6019530296325684, 5.176471710205078, -0.3515074551105499, 0.6916970610618591, 0.799163281917572, 1.5289950370788574], [2.6131064891815186, 5.166447639465332, -0.35451561212539673, 0.7253149151802063, 0.7025956511497498, 1.5844913721084595], [2.588528633117676, 5.144787788391113, -0.37294039130210876, 0.6873422861099243, 0.6596769094467163, 1.599531888961792], [2.608736515045166, 5.137124061584473, -0.3221491873264313, 0.8541471362113953, 0.7385410070419312, 1.6902281045913696]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""877504c4cabc539b87ac7c6f73ca5492"", ""4644dfe549205f8882c39a0084305170"", ""05a33e531455505e8d26bfe07081def2"", ""30bbc12c3cb35928ae31fb3a5d916925"", ""c793d145eb8a58dbbc4bcb2d4f03573c"", ""caead3ec31e255728de01ff66374bacb"", ""649392cd905d5d128d92eda94d973fa6"", ""7366e1792744570fafe31abfba0bfb84""]","[""1db5ff0ff28357608534022b449eeff4"", ""4a32b0f7722f53ba966f1ddddaaf8f9e"", ""8e0ad4a439d3506995a9b0db2bfe08fa"", ""35b913c5a71d5665934475023d2fdd97"", ""71e5b5186f3053c995a46e54d009d3aa"", ""76fb989ab74855c2bd77cd89e0901336"", ""59707cf48d2752c994e7d4bc86bbfec4"", ""289f7b84314059819f31771816567a35""]","[[2.5591816902160645, 5.172679424285889, -0.30396631360054016, 0.7220348119735718, 0.7958616614341736, 1.6210533380508423], [2.6421589851379395, 5.1383514404296875, -0.3151113986968994, 0.7089553475379944, 0.7923415899276733, 1.6043531894683838], [2.6150832176208496, 5.181943893432617, -0.34847867488861084, 0.7411373257637024, 0.6461775898933411, 1.5532644987106323], [2.6019530296325684, 5.176471710205078, -0.3515074551105499, 0.6916970610618591, 0.799163281917572, 1.5289950370788574]]","[[2.6131064891815186, 5.166447639465332, -0.35451561212539673, 0.7253149151802063, 0.7025956511497498, 1.5844913721084595], [2.588528633117676, 5.144787788391113, -0.37294039130210876, 0.6873422861099243, 0.6596769094467163, 1.599531888961792], [2.608736515045166, 5.137124061584473, -0.3221491873264313, 0.8541471362113953, 0.7385410070419312, 1.6902281045913696], [2.5957987308502197, 5.155745983123779, -0.28734031319618225, 0.6304376125335693, 0.7993680834770203, 1.5309224128723145]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""4644dfe549205f8882c39a0084305170"", ""05a33e531455505e8d26bfe07081def2"", ""30bbc12c3cb35928ae31fb3a5d916925"", ""c793d145eb8a58dbbc4bcb2d4f03573c"", ""caead3ec31e255728de01ff66374bacb"", ""649392cd905d5d128d92eda94d973fa6"", ""7366e1792744570fafe31abfba0bfb84"", ""4c8866a718215203b868e733b8a625e9""]","[""4a32b0f7722f53ba966f1ddddaaf8f9e"", ""8e0ad4a439d3506995a9b0db2bfe08fa"", ""35b913c5a71d5665934475023d2fdd97"", ""71e5b5186f3053c995a46e54d009d3aa"", ""76fb989ab74855c2bd77cd89e0901336"", ""59707cf48d2752c994e7d4bc86bbfec4"", ""289f7b84314059819f31771816567a35"", ""1869905bfdfc5c3ab295b2fa35ddd485""]","[[2.6421589851379395, 5.1383514404296875, -0.3151113986968994, 0.7089553475379944, 0.7923415899276733, 1.6043531894683838], [2.6150832176208496, 5.181943893432617, -0.34847867488861084, 0.7411373257637024, 0.6461775898933411, 1.5532644987106323], [2.6019530296325684, 5.176471710205078, -0.3515074551105499, 0.6916970610618591, 0.799163281917572, 1.5289950370788574], [2.6131064891815186, 5.166447639465332, -0.35451561212539673, 0.7253149151802063, 0.7025956511497498, 1.5844913721084595]]","[[2.588528633117676, 5.144787788391113, -0.37294039130210876, 0.6873422861099243, 0.6596769094467163, 1.599531888961792], [2.608736515045166, 5.137124061584473, -0.3221491873264313, 0.8541471362113953, 0.7385410070419312, 1.6902281045913696], [2.5957987308502197, 5.155745983123779, -0.28734031319618225, 0.6304376125335693, 0.7993680834770203, 1.5309224128723145], [2.5639891624450684, 5.176830768585205, -0.3063838481903076, 0.7508103251457214, 0.7998626232147217, 1.5744236707687378]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""05a33e531455505e8d26bfe07081def2"", ""30bbc12c3cb35928ae31fb3a5d916925"", ""c793d145eb8a58dbbc4bcb2d4f03573c"", ""caead3ec31e255728de01ff66374bacb"", ""649392cd905d5d128d92eda94d973fa6"", ""7366e1792744570fafe31abfba0bfb84"", ""4c8866a718215203b868e733b8a625e9"", ""aa9f003b68085ea18d88a034e606edc5""]","[""8e0ad4a439d3506995a9b0db2bfe08fa"", ""35b913c5a71d5665934475023d2fdd97"", ""71e5b5186f3053c995a46e54d009d3aa"", ""76fb989ab74855c2bd77cd89e0901336"", ""59707cf48d2752c994e7d4bc86bbfec4"", ""289f7b84314059819f31771816567a35"", ""1869905bfdfc5c3ab295b2fa35ddd485"", ""32a6e2c42b5c5d288716527aaa58a222""]","[[2.6150832176208496, 5.181943893432617, -0.34847867488861084, 0.7411373257637024, 0.6461775898933411, 1.5532644987106323], [2.6019530296325684, 5.176471710205078, -0.3515074551105499, 0.6916970610618591, 0.799163281917572, 1.5289950370788574], [2.6131064891815186, 5.166447639465332, -0.35451561212539673, 0.7253149151802063, 0.7025956511497498, 1.5844913721084595], [2.588528633117676, 5.144787788391113, -0.37294039130210876, 0.6873422861099243, 0.6596769094467163, 1.599531888961792]]","[[2.608736515045166, 5.137124061584473, -0.3221491873264313, 0.8541471362113953, 0.7385410070419312, 1.6902281045913696], [2.5957987308502197, 5.155745983123779, -0.28734031319618225, 0.6304376125335693, 0.7993680834770203, 1.5309224128723145], [2.5639891624450684, 5.176830768585205, -0.3063838481903076, 0.7508103251457214, 0.7998626232147217, 1.5744236707687378], [2.6406056880950928, 5.12213134765625, -0.366870641708374, 0.644159197807312, 0.8161206841468811, 1.5321296453475952]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""30bbc12c3cb35928ae31fb3a5d916925"", ""c793d145eb8a58dbbc4bcb2d4f03573c"", ""caead3ec31e255728de01ff66374bacb"", ""649392cd905d5d128d92eda94d973fa6"", ""7366e1792744570fafe31abfba0bfb84"", ""4c8866a718215203b868e733b8a625e9"", ""aa9f003b68085ea18d88a034e606edc5"", ""90979c858653580fabdcf8dedc5ee16e""]","[""35b913c5a71d5665934475023d2fdd97"", ""71e5b5186f3053c995a46e54d009d3aa"", ""76fb989ab74855c2bd77cd89e0901336"", ""59707cf48d2752c994e7d4bc86bbfec4"", ""289f7b84314059819f31771816567a35"", ""1869905bfdfc5c3ab295b2fa35ddd485"", ""32a6e2c42b5c5d288716527aaa58a222"", ""46b61e78b0d955a9bccbeed6c901a449""]","[[2.6019530296325684, 5.176471710205078, -0.3515074551105499, 0.6916970610618591, 0.799163281917572, 1.5289950370788574], [2.6131064891815186, 5.166447639465332, -0.35451561212539673, 0.7253149151802063, 0.7025956511497498, 1.5844913721084595], [2.588528633117676, 5.144787788391113, -0.37294039130210876, 0.6873422861099243, 0.6596769094467163, 1.599531888961792], [2.608736515045166, 5.137124061584473, -0.3221491873264313, 0.8541471362113953, 0.7385410070419312, 1.6902281045913696]]","[[2.5957987308502197, 5.155745983123779, -0.28734031319618225, 0.6304376125335693, 0.7993680834770203, 1.5309224128723145], [2.5639891624450684, 5.176830768585205, -0.3063838481903076, 0.7508103251457214, 0.7998626232147217, 1.5744236707687378], [2.6406056880950928, 5.12213134765625, -0.366870641708374, 0.644159197807312, 0.8161206841468811, 1.5321296453475952], [2.5882503986358643, 5.151614189147949, -0.37636619806289673, 0.7028497457504272, 0.8312072157859802, 1.5410995483398438]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""c793d145eb8a58dbbc4bcb2d4f03573c"", ""caead3ec31e255728de01ff66374bacb"", ""649392cd905d5d128d92eda94d973fa6"", ""7366e1792744570fafe31abfba0bfb84"", ""4c8866a718215203b868e733b8a625e9"", ""aa9f003b68085ea18d88a034e606edc5"", ""90979c858653580fabdcf8dedc5ee16e"", ""0cb4284ef91b5443ab086ab3bd44eedd""]","[""71e5b5186f3053c995a46e54d009d3aa"", ""76fb989ab74855c2bd77cd89e0901336"", ""59707cf48d2752c994e7d4bc86bbfec4"", ""289f7b84314059819f31771816567a35"", ""1869905bfdfc5c3ab295b2fa35ddd485"", ""32a6e2c42b5c5d288716527aaa58a222"", ""46b61e78b0d955a9bccbeed6c901a449"", ""d359d4ef4b215812b0123c0344439d4f""]","[[2.6131064891815186, 5.166447639465332, -0.35451561212539673, 0.7253149151802063, 0.7025956511497498, 1.5844913721084595], [2.588528633117676, 5.144787788391113, -0.37294039130210876, 0.6873422861099243, 0.6596769094467163, 1.599531888961792], [2.608736515045166, 5.137124061584473, -0.3221491873264313, 0.8541471362113953, 0.7385410070419312, 1.6902281045913696], [2.5957987308502197, 5.155745983123779, -0.28734031319618225, 0.6304376125335693, 0.7993680834770203, 1.5309224128723145]]","[[2.5639891624450684, 5.176830768585205, -0.3063838481903076, 0.7508103251457214, 0.7998626232147217, 1.5744236707687378], [2.6406056880950928, 5.12213134765625, -0.366870641708374, 0.644159197807312, 0.8161206841468811, 1.5321296453475952], [2.5882503986358643, 5.151614189147949, -0.37636619806289673, 0.7028497457504272, 0.8312072157859802, 1.5410995483398438], [2.533137559890747, 5.096800804138184, -0.37268853187561035, 0.6712536215782166, 0.8187661170959473, 1.558440089225769]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""caead3ec31e255728de01ff66374bacb"", ""649392cd905d5d128d92eda94d973fa6"", ""7366e1792744570fafe31abfba0bfb84"", ""4c8866a718215203b868e733b8a625e9"", ""aa9f003b68085ea18d88a034e606edc5"", ""90979c858653580fabdcf8dedc5ee16e"", ""0cb4284ef91b5443ab086ab3bd44eedd"", ""22f5474a24ab5a04b9298cad6f51a8f2""]","[""76fb989ab74855c2bd77cd89e0901336"", ""59707cf48d2752c994e7d4bc86bbfec4"", ""289f7b84314059819f31771816567a35"", ""1869905bfdfc5c3ab295b2fa35ddd485"", ""32a6e2c42b5c5d288716527aaa58a222"", ""46b61e78b0d955a9bccbeed6c901a449"", ""d359d4ef4b215812b0123c0344439d4f"", ""43a92fd89ccd54e9925ff8e8a9cd5ce6""]","[[2.588528633117676, 5.144787788391113, -0.37294039130210876, 0.6873422861099243, 0.6596769094467163, 1.599531888961792], [2.608736515045166, 5.137124061584473, -0.3221491873264313, 0.8541471362113953, 0.7385410070419312, 1.6902281045913696], [2.5957987308502197, 5.155745983123779, -0.28734031319618225, 0.6304376125335693, 0.7993680834770203, 1.5309224128723145], [2.5639891624450684, 5.176830768585205, -0.3063838481903076, 0.7508103251457214, 0.7998626232147217, 1.5744236707687378]]","[[2.6406056880950928, 5.12213134765625, -0.366870641708374, 0.644159197807312, 0.8161206841468811, 1.5321296453475952], [2.5882503986358643, 5.151614189147949, -0.37636619806289673, 0.7028497457504272, 0.8312072157859802, 1.5410995483398438], [2.533137559890747, 5.096800804138184, -0.37268853187561035, 0.6712536215782166, 0.8187661170959473, 1.558440089225769], [2.551482677459717, 5.097164630889893, -0.3765999972820282, 0.647319495677948, 0.7057768106460571, 1.5830601453781128]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""649392cd905d5d128d92eda94d973fa6"", ""7366e1792744570fafe31abfba0bfb84"", ""4c8866a718215203b868e733b8a625e9"", ""aa9f003b68085ea18d88a034e606edc5"", ""90979c858653580fabdcf8dedc5ee16e"", ""0cb4284ef91b5443ab086ab3bd44eedd"", ""22f5474a24ab5a04b9298cad6f51a8f2"", ""6aff352ae73b5615af6efcf1364e4ce9""]","[""59707cf48d2752c994e7d4bc86bbfec4"", ""289f7b84314059819f31771816567a35"", ""1869905bfdfc5c3ab295b2fa35ddd485"", ""32a6e2c42b5c5d288716527aaa58a222"", ""46b61e78b0d955a9bccbeed6c901a449"", ""d359d4ef4b215812b0123c0344439d4f"", ""43a92fd89ccd54e9925ff8e8a9cd5ce6"", ""20d4dd47118150bfa50c2ea2967e9a49""]","[[2.608736515045166, 5.137124061584473, -0.3221491873264313, 0.8541471362113953, 0.7385410070419312, 1.6902281045913696], [2.5957987308502197, 5.155745983123779, -0.28734031319618225, 0.6304376125335693, 0.7993680834770203, 1.5309224128723145], [2.5639891624450684, 5.176830768585205, -0.3063838481903076, 0.7508103251457214, 0.7998626232147217, 1.5744236707687378], [2.6406056880950928, 5.12213134765625, -0.366870641708374, 0.644159197807312, 0.8161206841468811, 1.5321296453475952]]","[[2.5882503986358643, 5.151614189147949, -0.37636619806289673, 0.7028497457504272, 0.8312072157859802, 1.5410995483398438], [2.533137559890747, 5.096800804138184, -0.37268853187561035, 0.6712536215782166, 0.8187661170959473, 1.558440089225769], [2.551482677459717, 5.097164630889893, -0.3765999972820282, 0.647319495677948, 0.7057768106460571, 1.5830601453781128], [2.533491373062134, 5.097745895385742, -0.32974424958229065, 0.688040554523468, 0.6137228012084961, 1.591776967048645]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""7366e1792744570fafe31abfba0bfb84"", ""4c8866a718215203b868e733b8a625e9"", ""aa9f003b68085ea18d88a034e606edc5"", ""90979c858653580fabdcf8dedc5ee16e"", ""0cb4284ef91b5443ab086ab3bd44eedd"", ""22f5474a24ab5a04b9298cad6f51a8f2"", ""6aff352ae73b5615af6efcf1364e4ce9"", ""619313aadc3f57efa4fd40b4718d062a""]","[""289f7b84314059819f31771816567a35"", ""1869905bfdfc5c3ab295b2fa35ddd485"", ""32a6e2c42b5c5d288716527aaa58a222"", ""46b61e78b0d955a9bccbeed6c901a449"", ""d359d4ef4b215812b0123c0344439d4f"", ""43a92fd89ccd54e9925ff8e8a9cd5ce6"", ""20d4dd47118150bfa50c2ea2967e9a49"", ""01ff7169e0985f10bce6047201df22e8""]","[[2.5957987308502197, 5.155745983123779, -0.28734031319618225, 0.6304376125335693, 0.7993680834770203, 1.5309224128723145], [2.5639891624450684, 5.176830768585205, -0.3063838481903076, 0.7508103251457214, 0.7998626232147217, 1.5744236707687378], [2.6406056880950928, 5.12213134765625, -0.366870641708374, 0.644159197807312, 0.8161206841468811, 1.5321296453475952], [2.5882503986358643, 5.151614189147949, -0.37636619806289673, 0.7028497457504272, 0.8312072157859802, 1.5410995483398438]]","[[2.533137559890747, 5.096800804138184, -0.37268853187561035, 0.6712536215782166, 0.8187661170959473, 1.558440089225769], [2.551482677459717, 5.097164630889893, -0.3765999972820282, 0.647319495677948, 0.7057768106460571, 1.5830601453781128], [2.533491373062134, 5.097745895385742, -0.32974424958229065, 0.688040554523468, 0.6137228012084961, 1.591776967048645], [2.548342227935791, 5.142977714538574, -0.3651101589202881, 0.6622217893600464, 0.690159797668457, 1.5670086145401]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""4c8866a718215203b868e733b8a625e9"", ""aa9f003b68085ea18d88a034e606edc5"", ""90979c858653580fabdcf8dedc5ee16e"", ""0cb4284ef91b5443ab086ab3bd44eedd"", ""22f5474a24ab5a04b9298cad6f51a8f2"", ""6aff352ae73b5615af6efcf1364e4ce9"", ""619313aadc3f57efa4fd40b4718d062a"", ""67d29b179a195a2f949e51791e77c61e""]","[""1869905bfdfc5c3ab295b2fa35ddd485"", ""32a6e2c42b5c5d288716527aaa58a222"", ""46b61e78b0d955a9bccbeed6c901a449"", ""d359d4ef4b215812b0123c0344439d4f"", ""43a92fd89ccd54e9925ff8e8a9cd5ce6"", ""20d4dd47118150bfa50c2ea2967e9a49"", ""01ff7169e0985f10bce6047201df22e8"", ""d72982995ddc5d79bd8ecd98121711c7""]","[[2.5639891624450684, 5.176830768585205, -0.3063838481903076, 0.7508103251457214, 0.7998626232147217, 1.5744236707687378], [2.6406056880950928, 5.12213134765625, -0.366870641708374, 0.644159197807312, 0.8161206841468811, 1.5321296453475952], [2.5882503986358643, 5.151614189147949, -0.37636619806289673, 0.7028497457504272, 0.8312072157859802, 1.5410995483398438], [2.533137559890747, 5.096800804138184, -0.37268853187561035, 0.6712536215782166, 0.8187661170959473, 1.558440089225769]]","[[2.551482677459717, 5.097164630889893, -0.3765999972820282, 0.647319495677948, 0.7057768106460571, 1.5830601453781128], [2.533491373062134, 5.097745895385742, -0.32974424958229065, 0.688040554523468, 0.6137228012084961, 1.591776967048645], [2.548342227935791, 5.142977714538574, -0.3651101589202881, 0.6622217893600464, 0.690159797668457, 1.5670086145401], [2.4654743671417236, 5.0444817543029785, -0.3464772701263428, 0.6642801761627197, 0.7342411875724792, 1.7088638544082642]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""aa9f003b68085ea18d88a034e606edc5"", ""90979c858653580fabdcf8dedc5ee16e"", ""0cb4284ef91b5443ab086ab3bd44eedd"", ""22f5474a24ab5a04b9298cad6f51a8f2"", ""6aff352ae73b5615af6efcf1364e4ce9"", ""619313aadc3f57efa4fd40b4718d062a"", ""67d29b179a195a2f949e51791e77c61e"", ""69f4638282d657b281cdfcd504c0c5fe""]","[""32a6e2c42b5c5d288716527aaa58a222"", ""46b61e78b0d955a9bccbeed6c901a449"", ""d359d4ef4b215812b0123c0344439d4f"", ""43a92fd89ccd54e9925ff8e8a9cd5ce6"", ""20d4dd47118150bfa50c2ea2967e9a49"", ""01ff7169e0985f10bce6047201df22e8"", ""d72982995ddc5d79bd8ecd98121711c7"", ""6f352e862d1853799102031d9b2409f3""]","[[2.6406056880950928, 5.12213134765625, -0.366870641708374, 0.644159197807312, 0.8161206841468811, 1.5321296453475952], [2.5882503986358643, 5.151614189147949, -0.37636619806289673, 0.7028497457504272, 0.8312072157859802, 1.5410995483398438], [2.533137559890747, 5.096800804138184, -0.37268853187561035, 0.6712536215782166, 0.8187661170959473, 1.558440089225769], [2.551482677459717, 5.097164630889893, -0.3765999972820282, 0.647319495677948, 0.7057768106460571, 1.5830601453781128]]","[[2.533491373062134, 5.097745895385742, -0.32974424958229065, 0.688040554523468, 0.6137228012084961, 1.591776967048645], [2.548342227935791, 5.142977714538574, -0.3651101589202881, 0.6622217893600464, 0.690159797668457, 1.5670086145401], [2.4654743671417236, 5.0444817543029785, -0.3464772701263428, 0.6642801761627197, 0.7342411875724792, 1.7088638544082642], [2.3866612911224365, 5.170694828033447, -0.30789387226104736, 0.6478791832923889, 0.817435622215271, 1.6687383651733398]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""90979c858653580fabdcf8dedc5ee16e"", ""0cb4284ef91b5443ab086ab3bd44eedd"", ""22f5474a24ab5a04b9298cad6f51a8f2"", ""6aff352ae73b5615af6efcf1364e4ce9"", ""619313aadc3f57efa4fd40b4718d062a"", ""67d29b179a195a2f949e51791e77c61e"", ""69f4638282d657b281cdfcd504c0c5fe"", ""41008e92988b559888111af4b278d554""]","[""46b61e78b0d955a9bccbeed6c901a449"", ""d359d4ef4b215812b0123c0344439d4f"", ""43a92fd89ccd54e9925ff8e8a9cd5ce6"", ""20d4dd47118150bfa50c2ea2967e9a49"", ""01ff7169e0985f10bce6047201df22e8"", ""d72982995ddc5d79bd8ecd98121711c7"", ""6f352e862d1853799102031d9b2409f3"", ""1884d7990f9c55a581b40db1912a4e5b""]","[[2.5882503986358643, 5.151614189147949, -0.37636619806289673, 0.7028497457504272, 0.8312072157859802, 1.5410995483398438], [2.533137559890747, 5.096800804138184, -0.37268853187561035, 0.6712536215782166, 0.8187661170959473, 1.558440089225769], [2.551482677459717, 5.097164630889893, -0.3765999972820282, 0.647319495677948, 0.7057768106460571, 1.5830601453781128], [2.533491373062134, 5.097745895385742, -0.32974424958229065, 0.688040554523468, 0.6137228012084961, 1.591776967048645]]","[[2.548342227935791, 5.142977714538574, -0.3651101589202881, 0.6622217893600464, 0.690159797668457, 1.5670086145401], [2.4654743671417236, 5.0444817543029785, -0.3464772701263428, 0.6642801761627197, 0.7342411875724792, 1.7088638544082642], [2.3866612911224365, 5.170694828033447, -0.30789387226104736, 0.6478791832923889, 0.817435622215271, 1.6687383651733398], [2.318438768386841, 5.162283420562744, -0.33709123730659485, 0.8259655237197876, 0.7161490321159363, 1.6444357633590698]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""0cb4284ef91b5443ab086ab3bd44eedd"", ""22f5474a24ab5a04b9298cad6f51a8f2"", ""6aff352ae73b5615af6efcf1364e4ce9"", ""619313aadc3f57efa4fd40b4718d062a"", ""67d29b179a195a2f949e51791e77c61e"", ""69f4638282d657b281cdfcd504c0c5fe"", ""41008e92988b559888111af4b278d554"", ""08d2651a1eec50dc92c49a7cb0168c5e""]","[""d359d4ef4b215812b0123c0344439d4f"", ""43a92fd89ccd54e9925ff8e8a9cd5ce6"", ""20d4dd47118150bfa50c2ea2967e9a49"", ""01ff7169e0985f10bce6047201df22e8"", ""d72982995ddc5d79bd8ecd98121711c7"", ""6f352e862d1853799102031d9b2409f3"", ""1884d7990f9c55a581b40db1912a4e5b"", ""d6a00f80749c5a91aa518607566b897d""]","[[2.533137559890747, 5.096800804138184, -0.37268853187561035, 0.6712536215782166, 0.8187661170959473, 1.558440089225769], [2.551482677459717, 5.097164630889893, -0.3765999972820282, 0.647319495677948, 0.7057768106460571, 1.5830601453781128], [2.533491373062134, 5.097745895385742, -0.32974424958229065, 0.688040554523468, 0.6137228012084961, 1.591776967048645], [2.548342227935791, 5.142977714538574, -0.3651101589202881, 0.6622217893600464, 0.690159797668457, 1.5670086145401]]","[[2.4654743671417236, 5.0444817543029785, -0.3464772701263428, 0.6642801761627197, 0.7342411875724792, 1.7088638544082642], [2.3866612911224365, 5.170694828033447, -0.30789387226104736, 0.6478791832923889, 0.817435622215271, 1.6687383651733398], [2.318438768386841, 5.162283420562744, -0.33709123730659485, 0.8259655237197876, 0.7161490321159363, 1.6444357633590698], [2.294419527053833, 5.161543846130371, -0.3007415235042572, 0.692689836025238, 0.6499407291412354, 1.8106374740600586]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
